date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:33	132/132	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:32%20GMT	https://mop-shoot.tauri.hu/robots.txt		(from )
00:54:33	4698/4698	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2015%20Feb%202024%2023:54:32%20GMT	https://mop-shoot.tauri.hu/	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/index.html	(from )
00:54:53	825/825	U-----	200	untouched ('')	image/x-icon	etag:%2258582c2f-339%22	https://mop-shoot.tauri.hu/templates/wowhead/images/favicon.ico	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/favicon.ico	(from https://mop-shoot.tauri.hu/)
00:54:53	149599/149599	U-----	200	untouched ('OK')	text/css	etag:%225aa66c79-2485f%22	https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/css/global4cd7.css	(from https://mop-shoot.tauri.hu/)
00:54:54	1987/1987	U-----	200	untouched ('OK')	text/css	etag:%2258582c2f-7c3%22	https://mop-shoot.tauri.hu/templates/wowhead/css/locale_enus.css?1482173487	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/css/locale_enus5bf0.css	(from https://mop-shoot.tauri.hu/)
00:54:54	72174/72174	U-----	200	untouched ('')	application/javascript	etag:%2258582c30-119ee%22	https://mop-shoot.tauri.hu/templates/wowhead/js/jquery-2.1.0.js?1482173488	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/jquery-2.1.036ef.js	(from https://mop-shoot.tauri.hu/)
00:54:54	200719/200719	U-----	200	untouched ('')	application/javascript	etag:%2258582c30-3100f%22	https://mop-shoot.tauri.hu/templates/wowhead/js/jquery-ui.js?1482173488	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/jquery-ui36ef.js	(from https://mop-shoot.tauri.hu/)
00:54:54	358894/358894	U-----	200	untouched ('')	application/javascript	etag:%225afec058-579ee%22	https://mop-shoot.tauri.hu/templates/wowhead/js/locale_enus.js?1526644824	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/locale_enusd468.js	(from https://mop-shoot.tauri.hu/)
00:54:54	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:53%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/rss.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/rss.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:54	599047/599047	U-----	200	untouched ('')	application/javascript	etag:%225d42bf01-92407%22	https://mop-shoot.tauri.hu/templates/wowhead/js/global.js?1564655361	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/globalb944.js	(from https://mop-shoot.tauri.hu/)
00:54:54	190384/190384	U-----	200	untouched ('')	application/javascript	etag:%225aa66c79-2e7b0%22	https://mop-shoot.tauri.hu/templates/wowhead/js/Markup.js?1520856185	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/Markup4cd7.js	(from https://mop-shoot.tauri.hu/)
00:54:55	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:53%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/logos/medium.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/logos/medium.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:55	5616/5616	U-----	200	untouched ('OK')	text/css	etag:%2258a2de6d-15f0%22	https://mop-shoot.tauri.hu/templates/wowhead/css/main.css?1487068781	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/css/main2b68.css	(from https://mop-shoot.tauri.hu/)
00:54:55	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:54%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_background.jpg	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_background.jpg	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:55	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:54%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_background.jpg	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/medium/socket_background.jpg	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:55	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:54%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_meta.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_meta.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:55	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:54%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_yellow.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_yellow.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
00:54:56	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2023:54:55%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_red.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/sockets/small/socket_anim_red.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
